timestamp	step	acc
1635505923313	0	0.0893
1635505932922	1	0.1022
1635505942807	2	0.1285
1635505953624	3	0.2521
1635505964746	4	0.4166
1635505975017	5	0.4899
1635505984403	6	0.5408
1635505993863	7	0.5919
1635506003367	8	0.628
1635506012803	9	0.6681
1635506616546	24	0.9633
1635506627051	25	0.9629
1635506637006	26	0.9633
1635506647773	27	0.9632
1635506658476	28	0.9626
1635506668260	29	0.9635
1635506679336	30	0.9641
1635506690429	31	0.9635
1635506701323	32	0.9645
1635506712688	33	0.9651
